hy	hij
sal	zal
ick	ik
ghy	u
sy	zij
my	mij
sijne	zijn
maer	maar
seyde	zei
aen	aan
uyt	uit
sult	zult
sullen	zullen
so	zo
oock	ook
godt	god
sijn	zijn
nae	naar
eenen	een
mijne	mijn
wy	wij
coninck	koning
dese	deze
hadde	had
’t	het
huys	huis
sone	zoon
gelijck	zoals
sijnen	zijn
by	bij
volck	volk
eene	een
seggende	en_zei
hant	hand
uwen	uw
siet	ziet
lant	land
aengesichte	aangezicht
sich	zich
soude	zou
daer	er
alsoo	zo
godts	gods
daerom	daarom
aerde	aarde
oogen	ogen
stadt	stad
sonen	zonen
ierusalem	jeruzalem
iuda	juda
wech	weg
ofte	of
herte	hart
mose	mozes
dach	dag
inde	in
soo	zo
woort	woord
gedaen	gedaan
mijnen	mijn
plaetse	plaats
quam	kwam
ginck	ging
't	het
ziele	ziel
wert	werd
onse	onze
seggen	zeggen
zy	zij
seyt	zegt
name	naam
seyden	zeiden
laet	laat
gemaeckt	gemaakt
menschen	mensen
stemme	stem
groote	grote
sijner	zijn
gantsche	heel
spreeckt	spreekt
iesus	jezus
uwer	uw
duysent	duizend
zijnde	was
souden	zouden
mensche	mens
wort	wordt
weder	terug
in’t	in
desen	dezen
soons	zoon
gaen	gaan
sprack	sprak
quamen	kwamen
vrouwe	vrouw
also	zo
uwes	uw
sien	zien
quaet	kwaad
heydenen	heidenen
seer	zeer
henen	heen
tusschen	tussen
welcke	die
seven	zeven
sach	zag
aldaer	daar
ô	o
egypten	egypte
haren	hun
vyer	vuur
conincks	koning
gesien	gezien
maeckte	maakte
goet	goed
waerom	waarom
gehoort	gehoord
niemant	niemand
eeuwicheyt	eeuwigheid
selve	die
daerna	daarna
werck	werk
hooren	horen
tijt	tijd
dede	deed
ghylieden	u
hooft	hoofd
naem	naam
gaet	gaat
wiert	werd
altaer	altaar
hebbende	had
mont	mond
woestijne	woestijn
vleesch	vlees
coningen	koningen
rontom	rondom
aengesicht	aangezicht
werelt	wereld
geslachte	geslacht
waer	waar
heerlickheyt	heerlijkheid
broederen	broeders
heyrscharen	legermachten
leviten	levieten
jaer	jaar
bloet	bloed
tente	tent
dewijle	omdat
gerechticheyt	gerechtigheid
sweert	zwaard
iesu	jezus
wille	wil
harer	van_hun
eynde	einde
woonen	wonen
maent	maand
iacob	jakob
segge	zeg
heylige	heilige
gout	goud
wederom	opnieuw
ioden	joden
dooden	doden
wercken	werken
stont	stond
sondt	zond
gesonden	gezonden
propheten	profeten
berch	berg
ulieden	u
lants	land
geene	geen
vande	van_de
aaron	aäron
lande	land
inden	in_den
volcken	volken
sonden	zonden
sijnes	zijn
huyse	huis
datse	dat_zij
vyanden	vijanden
ongerechticheyt	ongerechtigheid
gestelt	gesteld
waerheyt	waarheid
gantsch	heel
heyligen	heiligen
philistijnen	filistijnen
wesen	wezen
geseyt	gezegd
twintich	twintig
welck	dat
broot	brood
arke	ark
welcken	wie
doot	dood
koninck	koning
sonde	zonde
kleederen	kleren
geloove	geloof
wijsheyt	wijsheid
sonder	zonder
selven	zichzelf
hondert	honderd
dochteren	dochters
wierden	werden
mijner	mijn
neder	neer
christi	christus
yegelick	ieder
maeckt	maakt
iosua	jozua
sijns	zijn
volcks	volk
bekent	bekend
sake	zaak
poorte	poort
gewan	verwekte
godes	gods
deure	deur
yeder	ieder
drincken	drinken
vervult	vervuld
menichte	menigte
buyten	buiten
volcke	volk
verbont	verbond
volckeren	volken
pharao	farao
geschiet	geschied
huysvrouwe	vrouw
wijven	vrouwen
soon	zoon
nochte	noch
geenen	geen
out	oud
yemant	iemand
iordane	jordaan
tooch	trok
vergaderinge	gemeenschap
ontfangen	ontvangen
ioseph	jozef
propheet	profeet
plaetsen	plaatsen
soecken	zoeken
silver	zilver
geseght	gezegd
zaet	zaad
soudt	zou
sonne	zon
mijns	mijn
lantpale	gebied
in't	in
iesum	jezus
lichaem	lichaam
herten	harten
dagh	dag
steenen	stenen
gemeynte	gemeente
deser	van_deze
priesteren	priesters
tijdt	tijd
ooren	oren
coninckrijcke	koninkrijk
segt	zeg
dertich	dertig
datmen	dat_men
onsen	onze
eere	eer
onreyn	onrein
stamme	stam
staen	staan
velt	veld
aerden	aarde
voorder	verder
throon	troon
tegens	tegen
seght	zegt
mijnes	mijn
huysen	huizen
sloech	sloeg
riviere	rivier
mitsgaders	en
nochtans	toch
datter	dat_er
twaelf	twaalf
trecken	trekken
insettingen	verordeningen
boeck	boek
heyr	leger
salse	zal_hen
goedertierenheyt	goedertierenheid
siende	ziende
ia	ja
voorts	verder
sterckte	sterkte
namelick	namelijk
ieremia	jeremia
slaen	slaan
gedoodt	gedood
duysternisse	duisternis
beyde	beide
aengaende	wat_betreft
isser	is_er
hoochte	hoogte
konnen	kunnen
vijftich	vijftig
sekerlick	zeker
inwoonders	inwoners
vreesen	vrezen
vanden	van_den
sterf	stierf
beschaemt	beschaamd
christo	christus
sagen	zagen
grooten	groten
voorwaer	voorwaar
veertich	veertig
samuel	samuel
maeckten	maakten
eenige	enige
geberchte	gebergte
setten	zetten
gelt	geld
doodt	dood
ses	zes
erffenisse	erfenis
sterck	sterk
yet	iets
staet	staat
ioab	joab
geheele	heel
vreese	vreze
spijs-offer	graanoffer
brand-offer	brandoffer
peerden	paarden
spijse	voedsel
gebouwt	gebouwd
uytgaen	uitgaan
ist	is
yemandt	iemand
ooge	oog
gemoete	tegemoet
wederkeeren	terugkeren
tonge	tong
gantschen	heel
ruste	rust
schare	menigte
olye	olie
egyptenlant	land_egypte
besittinge	bezit
welcker	van_wie
suster	zuster
reyn	rein
muer	muur
grimmicheyt	grimmigheid
verstant	verstand
niemandt	niemand
gesegent	gezegend
weynich	weinig
getuygenisse	getuigenis
gegaen	gegaan
seker	zeker
opstaen	opstaan
onses	onze
gebodt	gebod
coninckrijck	koninkrijk
eenich	enig
zion	sion
terstont	meteen
raet	raad
gevanckenisse	gevangenis
gesichte	visioen
elck	elk
wien	wie
vergaen	vergaan
uytgegaen	uitgegaan
senden	zenden
sat	zat
ionathan	jonathan
heylich	heilig
ammons	ammonieten
aarons	aäron
gesworen	gezworen
hoochten	hoogten
wijf	vrouw
van’t	van_het
quade	kwade
genaemt	genoemd
teecken	teken
selfs	zelfs
naesten	naaste
isaac	izak
avont	avond
volcx	volk
verstaen	verstaan
huyses	huis
ephraim	efraïm
eenes	van_een
assyrien	assyrië
strijt	strijd
ontrent	ongeveer
